City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,61.92,97,100,9.08,NZ,1675351146
1,rikitea,-23.1203,-134.9692,78.75,73,10,17.13,PF,1675351146
2,buchanan,5.8808,-10.0467,84.99,67,53,10.78,LR,1675351147
3,bara,10.3744,10.7288,97.05,11,35,13.09,NG,1675351147
4,hilo,19.7297,-155.09,77.29,82,0,8.05,US,1675351147
5,kavieng,-2.5744,150.7967,82.2,75,95,7.25,PG,1675351148
6,port alfred,-33.5906,26.891,77.18,80,78,3.0,ZA,1675351050
7,saskylakh,71.9167,114.0833,-13.79,98,100,4.09,RU,1675351101
8,sitka,57.0531,-135.33,42.69,65,100,10.36,US,1675351148
9,ushuaia,-54.8,-68.3,64.02,51,40,5.75,AR,1675351098
10,kirn,49.7833,7.45,46.96,75,99,14.07,DE,1675351150
11,vaini,-21.2,-175.2,78.96,94,75,9.22,TO,1675351150
12,mataura,-46.1927,168.8643,62.26,97,100,2.98,NZ,1675351150
13,selma,36.5708,-119.6121,45.63,100,0,0.0,US,1675351151
14,elizabeth city,36.2946,-76.2511,39.22,91,100,8.05,US,1675351151
15,chabahar,25.2919,60.643,69.75,64,0,5.77,IR,1675351109
16,alofi,-19.0595,-169.9187,71.49,94,100,10.36,NU,1675351152
17,tirukkoyilur,11.95,79.2,76.5,67,100,9.6,IN,1675351152
18,bethel,41.3712,-73.414,33.15,49,0,9.22,US,1675351153
19,kaitangata,-46.2817,169.8464,61.32,96,100,1.7,NZ,1675351153
20,samarai,-10.6167,150.6667,81.48,82,100,8.25,PG,1675351153
21,codrington,-38.2667,141.9667,52.5,75,100,22.1,AU,1675351154
22,ovsyanka,55.9575,92.5519,-2.78,99,34,3.87,RU,1675351154
23,hobart,-42.8794,147.3294,48.06,91,92,5.75,AU,1675351154
24,san quintin,30.4833,-115.95,54.0,56,36,2.64,MX,1675351155
25,burns lake,54.2331,-125.7533,17.02,99,100,3.47,CA,1675351155
26,hasaki,35.7333,140.8333,39.6,58,100,9.44,JP,1675351155
27,guerrero negro,27.9769,-114.0611,54.16,63,30,3.89,MX,1675351156
28,krasnyy chikoy,50.3643,108.7512,-4.2,98,98,3.11,RU,1675351156
29,kholodnyy,62.7167,147.95,-23.51,100,100,0.98,RU,1675351156
30,atar,20.5169,-13.0499,84.25,16,30,6.91,MR,1675351157
31,hermanus,-34.4187,19.2345,72.81,62,0,10.54,ZA,1675350984
32,yellowknife,62.456,-114.3525,-34.08,67,20,6.91,CA,1675351158
33,novyy urengoy,66.0833,76.6333,7.27,94,9,10.92,RU,1675351063
34,albany,42.6001,-73.9662,28.04,59,90,5.17,US,1675351159
35,craig,40.5153,-107.5464,8.22,83,100,0.0,US,1675351159
36,diu,20.7141,70.9822,73.15,55,34,8.5,IN,1675351160
37,xalpatlahuac,17.4667,-98.6167,65.88,45,1,1.95,MX,1675351160
38,souillac,-20.5167,57.5167,80.98,83,40,6.91,MU,1675351161
39,flin flon,54.7682,-101.865,-29.36,68,0,4.61,CA,1675351162
40,kruisfontein,-34.0033,24.7314,73.89,56,1,12.19,ZA,1675351162
41,otavi,-19.65,17.3333,75.74,63,100,3.6,NA,1675351162
42,punta arenas,-53.15,-70.9167,64.51,52,0,25.32,CL,1675351163
43,karatau,43.1667,70.4667,38.62,92,94,13.53,KZ,1675351163
44,luwuk,-0.9516,122.7875,77.4,86,100,5.41,ID,1675351163
45,ahipara,-35.1667,173.1667,69.82,97,100,7.02,NZ,1675351164
46,khatanga,71.9667,102.5,-19.53,99,97,3.71,RU,1675351164
47,yar-sale,66.8333,70.8333,7.48,93,6,9.15,RU,1675351165
48,luanda,-8.8368,13.2343,83.35,70,43,14.76,AO,1675350986
49,tenango,18.65,-98.1833,67.89,49,4,3.33,MX,1675351166
50,alghero,40.5589,8.3181,59.09,55,20,2.3,IT,1675351166
51,shenjiamen,29.9576,122.298,45.39,67,99,11.03,CN,1675351167
52,fuyang,32.9,115.8167,36.81,46,91,4.72,CN,1675351167
53,amazar,53.858,120.875,-20.47,99,38,3.33,RU,1675351168
54,grand gaube,-20.0064,57.6608,81.37,78,15,1.01,MU,1675351168
55,cape town,-33.9258,18.4232,75.09,44,0,11.99,ZA,1675350945
56,hun,29.1268,15.9477,63.43,30,85,4.14,LY,1675351169
57,haines junction,60.7522,-137.5108,3.15,85,100,1.14,CA,1675351169
58,atuona,-9.8,-139.0333,78.31,78,72,17.54,PF,1675351169
59,san juan,-31.5375,-68.5364,78.49,48,30,6.08,AR,1675351059
60,kayes,14.0,-11.0,96.78,8,70,0.25,ML,1675351170
61,morant bay,17.8815,-76.4093,86.7,75,73,12.88,JM,1675351170
62,hualmay,-11.0964,-77.6139,74.97,74,83,6.4,PE,1675351171
63,whitehorse,60.7161,-135.0538,9.37,78,100,18.41,CA,1675350908
64,basco,20.4487,121.9702,75.51,78,62,13.8,PH,1675351171
65,zhezkazgan,47.8043,67.7144,19.38,86,100,20.13,KZ,1675351171
66,guane,22.2025,-84.0875,79.54,68,28,11.43,CU,1675351172
67,provideniya,64.3833,-173.3,9.23,94,56,12.28,RU,1675351172
68,caravelas,-17.7125,-39.2481,88.09,45,14,9.57,BR,1675351172
69,puerto ayora,-0.7393,-90.3518,84.16,92,36,5.99,EC,1675351173
70,bredasdorp,-34.5322,20.0403,74.3,44,0,14.9,ZA,1675351173
71,sinnamary,5.3833,-52.95,78.78,81,53,3.76,GF,1675351173
72,acapulco,16.8634,-99.8901,76.82,61,0,3.44,MX,1675351174
73,fairbanks,64.8378,-147.7164,11.61,85,100,4.61,US,1675351174
74,dikson,73.5069,80.5464,3.31,93,100,8.03,RU,1675351175
